# Y-M-D   T H:M:S     ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL
2023-05-08T05:04:32   109945  SEQ        Calibration  Cal         RT-Vir                    2023-S1-UM-8                    86.2434    14       5.0  195.658265   5.185566  211.5  73.8  239.76 0
2023-05-08T05:05:33   109946  SEQ        Pointing     Map(Az/D)   RT-Vir                    2023-S1-UM-8                    86.2434    14     140.4  195.658265   5.185566  213.0  73.6  239.76 0
2023-05-08T05:10:42   109947  SEQ        Calibration  Cal         NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500       5.0  186.462083  12.680833  253.6  70.4  0 0
2023-05-08T05:11:51   109948  SEQ        Science      Map(Ra/C)   NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     846.4  186.462083  12.680833  254.1  70.1  0 0
2023-05-08T05:32:26   109949  SEQ        Science      Map(Dec/C)  NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     844.6  186.462083  12.680833  258.6  65.3  0 0
2023-05-08T05:54:41   109950  SEQ        Calibration  Cal         RT-Vir                    2023-S1-UM-8                    86.2434    14       5.0  195.658265   5.185566  238.5  65.2  239.76 0
2023-05-08T05:56:35   109951  SEQ        Pointing     Map(Az/D)   RT-Vir                    2023-S1-UM-8                    86.2434    14     149.8  195.658265   5.185566  239.4  64.7  239.76 0
2023-05-08T06:01:53   109952  SEQ        Calibration  Cal         NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500       5.0  186.462083  12.680833  263.0  58.5  0 0
2023-05-08T06:03:52   109953  SEQ        Science      Map(Ra/C)   NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     847.6  186.462083  12.680833  263.3  58.0  0 0
2023-05-08T06:25:16   109954  SEQ        Science      Map(Dec/C)  NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     843.4  186.462083  12.680833  265.8  52.9  0 0
2023-05-08T06:48:59   109955  SEQ        Calibration  Cal         RT-Vir                    2023-S1-UM-8                    86.2434    14       5.0  195.658265   5.185566  252.0  53.6  239.76 0
2023-05-08T06:51:45   109956  SEQ        Pointing     Map(Az/D)   RT-Vir                    2023-S1-UM-8                    86.2434    14     144.0  195.658265   5.185566  252.7  52.7  239.76 0
2023-05-08T07:05:38   109959  SEQ        Calibration  Cal         NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500       5.0  186.462083  12.680833  269.5  43.4  0 0
2023-05-08T07:08:34   109960  SEQ        Science      Map(Ra/C)   NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     844.2  186.462083  12.680833  269.7  42.7  0 0
2023-05-08T07:30:10   109961  SEQ        Science      Map(Dec/C)  NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     842.0  186.462083  12.680833  271.5  37.5  0 0
2023-05-26T06:20:33   110033  SEQ        Calibration  Cal         RT-Vir                    2023-S1-UM-8                    86.2434    14       5.4  195.658265   5.185566  258.2  44.2  239.76 0
2023-05-26T06:21:11   110034  SEQ        Pointing     Map(Az/D)   RT-Vir                    2023-S1-UM-8                    86.2434    14     136.6  195.658265   5.185566  258.6  43.5  239.76 0
2023-05-26T06:32:33   110035  SEQ        Calibration  Cal         NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500       5.0  186.462083  12.680833  272.5  34.4  0 0
2023-05-26T06:33:19   110036  SEQ        Science      Map(Ra/C)   NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     841.1  186.462083  12.680833  272.5  34.3  0 0
2023-05-26T06:54:02   110037  SEQ        Science      Map(Dec/C)  NGC4388+vicinity          2023-S1-UM-8                   115.2712  2500     841.3  186.462083  12.680833  274.0  29.3  0 0

